line,band_idx,svg_x,mile_from_terminal,abs_mile,carrier,score,has_reception
1,0,719,14.086,13.151,verizon,0.1154,True
1,0,719,14.086,13.151,sprint,0.0,False
1,0,724,14.191,13.255,att,0.0,False
1,0,724,14.191,13.255,tmobile,0.0,False
1,0,724,14.191,13.255,verizon,0.0,False
1,0,724,14.191,13.255,sprint,0.0,False
1,0,729,14.295,13.359,att,0.0,False
1,0,729,14.295,13.359,tmobile,0.0,False
1,0,729,14.295,13.359,verizon,0.0,False
1,0,729,14.295,13.359,sprint,0.0,False
1,0,734,14.399,13.464,att,0.0,False
1,0,734,14.399,13.464,tmobile,0.0,False
1,0,734,14.399,13.464,verizon,0.0,False
1,0,734,14.399,13.464,sprint,0.0,False
1,0,739,14.504,13.568,att,0.0,False
1,0,739,14.504,13.568,tmobile,0.0,False
1,0,739,14.504,13.568,verizon,0.0385,True
1,0,739,14.504,13.568,sprint,0.0,False
1,0,744,14.608,13.672,att,0.0,False
1,0,744,14.608,13.672,tmobile,0.0,False
1,0,744,14.608,13.672,verizon,0.4615,True
1,0,744,14.608,13.672,sprint,0.0,False
1,0,749,14.713,13.777,att,0.0,False
1,0,749,14.713,13.777,tmobile,0.0,False
1,0,749,14.713,13.777,verizon,0.0,False
1,0,749,14.713,13.777,sprint,0.0,False
1,0,754,14.817,13.881,att,0.0,False
1,0,754,14.817,13.881,tmobile,0.0,False
